timeframe,entry_mode,stop_loss_points,min_distance_from_ema_low,take_profit_mode,fixed_rr,trades,wins,losses,win_rate_pct,net_points,avg_points,profit_factor,max_drawdown_points,avg_bars_held,take_profit_exits,stop_loss_exits
1h,next_open,1000.0,400.0,fixed_rr,1.5,1,1,0,100.0,1500.0,1500.0,inf,0.0,10.0,1,0
1h,signal_close,300.0,300.0,fixed_rr,3.0,3,2,1,66.67,1500.0,500.0,6.0,-300.0,4.67,2,1
1h,next_open,300.0,300.0,fixed_rr,3.0,3,2,1,66.67,1500.0,500.0,6.0,-300.0,3.67,2,1
1h,signal_close,500.0,300.0,fixed_rr,2.0,3,2,1,66.67,1500.0,500.0,4.0,-500.0,11.67,2,1
1h,next_open,500.0,300.0,fixed_rr,2.0,3,2,1,66.67,1500.0,500.0,4.0,-500.0,10.67,2,1
1h,next_open,300.0,50.0,ema_low,,11,9,2,81.82,1329.2,120.84,3.215,-600.0,0.91,8,2
1h,signal_close,300.0,50.0,ema_low,,11,9,2,81.82,1316.7,119.7,3.195,-600.0,1.91,8,2
1h,next_open,300.0,100.0,ema_low,,10,8,2,80.0,1308.61,130.86,3.181,-600.0,0.7,7,2
1h,next_open,300.0,150.0,ema_low,,10,8,2,80.0,1308.61,130.86,3.181,-600.0,0.7,7,2
1h,signal_close,300.0,100.0,ema_low,,10,8,2,80.0,1297.11,129.71,3.162,-600.0,1.7,7,2
1h,signal_close,300.0,150.0,ema_low,,10,8,2,80.0,1297.11,129.71,3.162,-600.0,1.7,7,2
1h,signal_close,300.0,100.0,fixed_rr,2.0,9,5,4,55.56,1211.5,134.61,2.01,-600.0,4.0,4,4
1h,signal_close,300.0,150.0,fixed_rr,2.0,9,5,4,55.56,1211.5,134.61,2.01,-600.0,4.0,4,4
1h,signal_close,400.0,50.0,fixed_rr,1.0,10,7,3,70.0,1211.5,121.15,2.01,-800.0,4.1,6,3
1h,signal_close,400.0,100.0,fixed_rr,1.0,10,7,3,70.0,1211.5,121.15,2.01,-800.0,4.1,6,3
1h,signal_close,400.0,150.0,fixed_rr,1.0,10,7,3,70.0,1211.5,121.15,2.01,-800.0,4.1,6,3
1h,signal_close,300.0,100.0,fixed_rr,3.0,9,4,5,44.44,1211.5,134.61,1.808,-900.0,6.11,3,5
1h,signal_close,300.0,150.0,fixed_rr,3.0,9,4,5,44.44,1211.5,134.61,1.808,-900.0,6.11,3,5
1h,signal_close,600.0,200.0,fixed_rr,3.0,7,3,4,42.86,1211.5,173.07,1.505,-1200.0,12.57,2,4
1h,next_open,400.0,50.0,fixed_rr,1.0,10,7,3,70.0,1211.0,121.1,2.009,-800.0,3.0,6,3
1h,next_open,400.0,100.0,fixed_rr,1.0,10,7,3,70.0,1211.0,121.1,2.009,-800.0,3.0,6,3
1h,next_open,400.0,150.0,fixed_rr,1.0,10,7,3,70.0,1211.0,121.1,2.009,-800.0,3.0,6,3
1h,next_open,300.0,100.0,fixed_rr,3.0,9,4,5,44.44,1211.0,134.56,1.807,-900.0,5.11,3,5
1h,next_open,300.0,150.0,fixed_rr,3.0,9,4,5,44.44,1211.0,134.56,1.807,-900.0,5.11,3,5
1h,next_open,600.0,200.0,fixed_rr,3.0,7,3,4,42.86,1211.0,173.0,1.505,-1200.0,11.57,2,4
1h,signal_close,400.0,400.0,fixed_rr,3.0,1,1,0,100.0,1200.0,1200.0,inf,0.0,11.0,1,0
1h,signal_close,600.0,400.0,fixed_rr,2.0,1,1,0,100.0,1200.0,1200.0,inf,0.0,11.0,1,0
1h,signal_close,800.0,400.0,fixed_rr,1.5,1,1,0,100.0,1200.0,1200.0,inf,0.0,11.0,1,0
1h,next_open,400.0,400.0,fixed_rr,3.0,1,1,0,100.0,1200.0,1200.0,inf,0.0,10.0,1,0
1h,next_open,600.0,400.0,fixed_rr,2.0,1,1,0,100.0,1200.0,1200.0,inf,0.0,10.0,1,0
1h,next_open,800.0,400.0,fixed_rr,1.5,1,1,0,100.0,1200.0,1200.0,inf,0.0,10.0,1,0
1h,signal_close,400.0,300.0,fixed_rr,2.0,3,2,1,66.67,1200.0,400.0,4.0,-400.0,9.67,2,1
1h,next_open,400.0,300.0,fixed_rr,2.0,3,2,1,66.67,1200.0,400.0,4.0,-400.0,8.67,2,1
1h,signal_close,600.0,300.0,fixed_rr,1.5,3,2,1,66.67,1200.0,400.0,3.0,-600.0,10.33,2,1
