window,tp_ema_low,entry_mode,stop_loss_points,min_distance_from_ema7_low,trades,wins,losses,win_rate_pct,net_points,avg_points,profit_factor,max_drawdown_points,avg_bars_held,take_profit_hits,stop_loss_hits,end_of_data
2y,8,next_open,800.0,150.0,854,571,283,66.86,18473.76,21.63,1.089,-21748.12,2.52,596,257,1
2y,8,next_open,800.0,200.0,770,500,270,64.94,10785.49,14.01,1.054,-21325.2,2.59,519,250,1
2y,8,next_open,800.0,300.0,584,370,214,63.36,17647.88,30.22,1.11,-16307.18,2.64,384,200,0
2y,8,next_open,800.0,400.0,403,249,154,61.79,20140.02,49.98,1.173,-9585.88,2.75,258,145,0
2y,8,next_open,800.0,600.0,166,91,75,54.82,4409.49,26.56,1.075,-8817.93,2.81,93,73,0
2y,8,next_open,1000.0,50.0,878,609,269,69.36,9350.83,10.65,1.043,-25294.32,2.84,666,211,1
2y,8,next_open,1000.0,100.0,859,591,268,68.8,8494.41,9.89,1.039,-25600.55,2.87,648,210,1
2y,8,next_open,1000.0,150.0,823,567,256,68.89,12739.45,15.48,1.061,-23580.49,2.87,619,203,1
2y,8,next_open,1000.0,200.0,740,499,241,67.43,8278.04,11.19,1.041,-22646.18,2.98,544,195,1
2y,8,next_open,1000.0,300.0,569,376,193,66.08,14394.21,25.3,1.088,-20862.02,3.01,409,160,0
2y,8,next_open,1000.0,400.0,396,256,140,64.65,12809.57,32.35,1.104,-9261.47,3.09,274,122,0
2y,8,next_open,1000.0,600.0,163,94,69,57.67,-1454.73,-8.92,0.977,-11960.36,3.2,99,64,0
6m,7,signal_close,200.0,50.0,267,105,162,39.33,1000.99,3.75,1.031,-4020.61,1.61,104,162,1
6m,7,signal_close,200.0,100.0,256,99,157,38.67,1119.65,4.37,1.036,-3930.85,1.61,98,157,1
6m,7,signal_close,200.0,150.0,235,89,146,37.87,1923.29,8.18,1.066,-3610.68,1.61,88,146,1
6m,7,signal_close,200.0,200.0,208,72,136,34.62,564.8,2.72,1.021,-4590.05,1.64,71,136,1
6m,7,signal_close,200.0,300.0,145,44,101,30.34,283.58,1.96,1.014,-2520.23,1.62,44,101,0
6m,7,signal_close,200.0,400.0,91,28,63,30.77,1526.52,16.77,1.121,-2129.51,1.64,28,63,0
6m,7,signal_close,200.0,600.0,24,3,21,12.5,-1784.52,-74.35,0.575,-2600.0,1.83,3,21,0
6m,7,signal_close,300.0,50.0,257,131,126,50.97,3782.23,14.72,1.1,-5464.9,1.94,130,126,1
6m,7,signal_close,300.0,100.0,248,124,124,50.0,3591.15,14.48,1.097,-5610.85,1.94,123,124,1
6m,7,signal_close,300.0,150.0,228,113,115,49.56,4632.4,20.32,1.134,-5301.79,1.94,112,115,1
6m,7,signal_close,300.0,200.0,202,90,112,44.55,1048.29,5.19,1.031,-6612.3,1.99,89,112,1
6m,7,signal_close,300.0,300.0,142,58,84,40.85,1364.11,9.61,1.054,-3735.05,2.02,58,84,0
6m,7,signal_close,300.0,400.0,91,38,53,41.76,3202.41,35.19,1.201,-2937.69,2.02,38,53,0
6m,7,signal_close,300.0,600.0,24,7,17,29.17,-79.43,-3.31,0.984,-3000.0,2.08,7,17,0
6m,7,signal_close,400.0,50.0,250,151,99,60.4,8137.85,32.55,1.207,-3649.95,2.23,151,98,1
6m,7,signal_close,400.0,100.0,242,145,97,59.92,8166.37,33.75,1.212,-3742.43,2.24,145,96,1
6m,7,signal_close,400.0,150.0,223,131,92,58.74,8084.07,36.25,1.222,-3854.08,2.25,131,91,1
6m,7,signal_close,400.0,200.0,197,106,91,53.81,3599.18,18.27,1.1,-5164.58,2.34,106,90,1
6m,7,signal_close,400.0,300.0,139,74,65,53.24,5868.69,42.22,1.229,-2395.91,2.46,75,64,0
6m,7,signal_close,400.0,400.0,89,45,44,50.56,3990.75,44.84,1.231,-3048.79,2.46,46,43,0
6m,7,signal_close,400.0,600.0,24,8,16,33.33,-1008.54,-42.02,0.842,-4000.0,2.21,8,16,0
6m,7,signal_close,500.0,50.0,241,159,82,65.98,10205.3,42.35,1.261,-2910.96,2.51,162,78,1
6m,7,signal_close,500.0,100.0,232,152,80,65.52,10693.32,46.09,1.283,-2749.95,2.55,156,75,1
6m,7,signal_close,500.0,150.0,217,140,77,64.52,9571.27,44.11,1.258,-3216.19,2.53,142,74,1
6m,7,signal_close,500.0,200.0,191,115,76,60.21,5186.38,27.15,1.142,-4574.06,2.65,117,73,1
6m,7,signal_close,500.0,300.0,136,81,55,59.56,6130.19,45.07,1.227,-3983.72,2.76,82,54,0
6m,7,signal_close,500.0,400.0,88,49,39,55.68,3832.1,43.55,1.201,-4248.79,2.75,50,38,0
6m,7,signal_close,500.0,600.0,24,10,14,41.67,-305.6,-12.73,0.956,-5000.0,2.54,10,14,0
6m,7,signal_close,600.0,50.0,230,160,70,69.57,11911.67,51.79,1.312,-4792.27,2.87,166,63,1
6m,7,signal_close,600.0,100.0,224,155,69,69.2,11952.0,53.36,1.319,-4557.17,2.87,161,62,1
6m,7,signal_close,600.0,150.0,211,145,66,68.72,11268.72,53.41,1.306,-5035.24,2.87,149,61,1
6m,7,signal_close,600.0,200.0,185,119,66,64.32,6177.16,33.39,1.168,-6179.54,3.04,123,61,1
6m,7,signal_close,600.0,300.0,132,83,49,62.88,6651.21,50.39,1.24,-2845.41,3.11,86,46,0
6m,7,signal_close,600.0,400.0,84,51,33,60.71,5953.11,70.87,1.328,-3304.92,3.18,54,30,0
6m,7,signal_close,600.0,600.0,24,13,11,54.17,1242.36,51.76,1.188,-3445.41,3.25,13,11,0
6m,7,signal_close,800.0,50.0,219,160,59,73.06,13049.76,59.59,1.347,-5149.09,3.21,173,45,1
6m,7,signal_close,800.0,100.0,214,156,58,72.9,12811.61,59.87,1.343,-5252.8,3.21,168,45,1
6m,7,signal_close,800.0,150.0,203,149,54,73.4,12773.25,62.92,1.351,-5355.27,3.22,158,44,1
6m,7,signal_close,800.0,200.0,177,123,54,69.49,7681.7,43.4,1.211,-6499.57,3.45,132,44,1
